Code,Name,Market
HHS,Hoang Huy Investment Services JSC,HOSE
BIC,BIDV Insurance Corp,HOSE
SCS,Sai Gon Cargo Service Corp,HOSE
MIG,Military Insurance Corp,HOSE
MSH,Song Hong Garment JSC,HOSE
DXS,Dat Xanh Real Estate Services JSC,HOSE
AST,Taseco Air Services JSC,HOSE
SHP,Southern Hydropower JSC,HOSE
TMP,Thac Mo Hydropower JSC,HOSE
PTB,Phu Tai JSC,HOSE
SZC,Sonadezi Chau Duc Shareholding Co,HOSE
DPG,Dat Phuong Group JSC,HOSE
VDS,Viet Dragon Securities Corp,HOSE
TVS,Thien Viet Securities JSC,HOSE
DHC,Donghai JSC of Bentre,HOSE
DPR,Dong Phu Rubber JSC,HOSE
TRA,Traphaco JSC,HOSE
NTC,Nam Tan Uyen Joint Stock Corp,HOSE
CRE,Century Land JSC,HOSE
DVP,Dinhvu Port Investment & Development JSC,HOSE
AGR,Agribank Securities Corp,HOSE
MCM,Mocchau Dairy Cattle Breeding JSC,HOSE
DSC,DSC Securities Corp,HOSE
PPC,Pha Lai Thermal Power JSC,HOSE
BFC,Binh Dien Fertilizer JSC,HOSE
STG,South Logistics JSC,HOSE
NAF,Nafoods Group JSC,HOSE
DCL,Cuu Long Pharmaceutical JSC,HOSE
HDC,Ba Ria Vung Tau House Development JSC,HOSE
QCG,Quoc Cuong GiaLai JSC,HOSE
AAA,An Phat Bioplastics JSC,HOSE
TDP,Thuan Duc JSC,HOSE
SHI,SonHa International Corp,HOSE
CSV,South Basic Chemicals JSC,HOSE
ASM,Sao Mai Group Corp,HOSE
PGD,Petrovietnam Low Pressure Gas Distribution JSC Class D,HOSE
TRC,Tay Ninh Rubber JSC,HOSE
PGI,Petrolimex Insurance Corp,HOSE
SAM,Sam Holdings Corp,HOSE
FMC,Sao Ta Foods JSC,HOSE
VPD,Viet Nam Power Development JSC,HOSE
NCT,Noibai Cargo Terminal Services JSC,HOSE
VVS,Vietnam Machine Investment Development JSC,HOSE
KHG,Khai Hoan Land Group JSC,HOSE
TBC,Thacba Hydro Power JSC,HOSE
SCR,Sai Gon Thuong Tin Real Estate JSC,HOSE
TCM,Thanh Cong Textile Garment Investment Trading JSC,HOSE
VFG,Viet Nam Fumigation JSC,HOSE
DMC,Domesco Medical Import Export Joint Stock Corp,HOSE
BMI,Baominh Insurance Corp,HOSE
CDC,Chuong Duong Corp,HOSE
RAL,Rang Dong Light Source and Vacuum Flask JSC,HOSE
TTA,Truong Thanh Development and Construction Investment JSC,HOSE
SGN,Sai Gon Ground Services JSC,HOSE
PVP,Pacific Petroleum Transportation JSC,HOSE
AGG,An Gia Real Estate Investment and Development Corp,HOSE
NTL,Tu Liem Urban Development JSC,HOSE
NBB,577 Investment Corp,HOSE
FCN,Fecon Corp,HOSE
CTF,City Auto Corp,HOSE
SVC,Saigon General Service Corp,HOSE
LIX,LIX Detergent JSC,HOSE
TV2,Power Engineering Consulting JSC 2,HOSE
OPC,OPC Pharmaceutical JSC,HOSE
DRC,Danang Rubber JSC,HOSE
SBA,Song Ba JSC,HOSE
YEG,Yeah1 Group Corp,HOSE
ELC,Elcom Technology Communications Corp,HOSE
SGT,Saigon Telecommunication & Technologies Corp,HOSE
KSB,Binh Duong Mineral and Construction JSC,HOSE
MZG,Miza Corp,HOSE
CSM,Southern Rubber Industry JSC,HOSE
HTG,Hoa Tho Textile Garment Joint Stock Corp,HOSE
VOS,Viet Nam Ocean Shipping JSC,HOSE
ASG,ASG Corp,HOSE
LCG,Lizen JSC,HOSE
AAN,A An Food JSC,HOSE
LBM,Lamdong Minerals and Building Materials JSC,HOSE
LHG,Long Hau Corp,HOSE
SRC,Saovang Rubber JSC,HOSE
HQC,Hoang Quan Consulting Trading Service Real Estate Corp,HOSE
TNH,TNH Hospital Group JSC,HOSE
S4A,Sesan 4A Hydro Power JSC,HOSE
STK,Century Synthetic Fiber Corp,HOSE
CLC,Cat Loi JSC,HOSE
HHP,HHP Global JSC,HOSE
APH,An Phat Holdings JSC,HOSE
SZL,Sonadezi Long Thanh Shareholding Co,HOSE
IDI,I.D.I International Development and Investment Corp,HOSE
