Code,Name,Market
5844,Kyoto Financial Group Inc,TSE
7167,Mebuki Financial Group Inc,TSE
7550,Zensho Holdings Co Ltd,TSE
3003,Hulic Co Ltd,TSE
3436,Sumco Corp,TSE
8354,Fukuoka Financial Group Inc,TSE
7912,Dai Nippon Printing Co Ltd,TSE
8303,SBI Shinsei Bank Ltd,TSE
9021,West Japan Railway Co,TSE
9201,Japan Airlines Co Ltd,TSE
7272,Yamaha Motor Co Ltd,TSE
2413,M3 Inc,TSE
9147,Nippon Express Holdings Inc,TSE
8439,Tokyo Century Corp,TSE
5101,Yokohama Rubber Co Ltd,TSE
7701,Shimadzu Corp,TSE
4523,Eisai Co Ltd,TSE
4528,Ono Pharmaceutical Co Ltd,TSE
8359,Hachijuni Nagano Bank Ltd,TSE
2875,Toyo Suisan Kaisha Ltd,TSE
6645,Omron Corp,TSE
6856,Horiba Ltd,TSE
6305,Hitachi Construction Machinery Co Ltd,TSE
8951,Nippon Building Fund Inc,TSE
7201,Nissan Motor Co.  Ltd,TSE
4021,Nissan Chemical Corp,TSE
9602,Toho Co Ltd (Tokyo),TSE
9962,Misumi Group Inc,TSE
4716,Oracle Corp Japan,TSE
2768,Sojitz Corp,TSE
2269,Meiji Holdings Co Ltd,TSE
9042,Hankyu Hanshin Holdings Inc,TSE
1878,Daito Trust Construction Co Ltd,TSE
4182,Mitsubishi Gas Chemical Co Inc,TSE
4768,Otsuka Corp,TSE
9005,Tokyu Corp,TSE
4911,Shiseido Co Ltd,TSE
4204,Sekisui Chemical Co Ltd,TSE
6370,Kurita Water Industries Ltd,TSE
3092,ZOZO Inc,TSE
2702,McDonald's Holdings Company Japan Ltd,TSE
6724,Seiko Epson Corp,TSE
7747,Asahi Intecc Co Ltd,TSE
9143,SG Holdings Co Ltd,TSE
5411,JFE Holdings Inc,TSE
3288,Open House Group Co Ltd,TSE
6806,Hirose Electric Co Ltd,TSE
3088,MatsukiyoCocokara & Co,TSE
5830,Iyogin Holdings Inc,TSE
9401,TBS Holdings Inc,TSE
9024,Seibu Holdings Inc,TSE
3391,Tsuruha Holdings Inc,TSE
8729,Sony Financial Group Inc,TSE
6532,BayCurrent Inc,TSE
4042,Tosoh Corp,TSE
6869,Sysmex Corp,TSE
3086,J. Front Retailing Co Ltd,TSE
3289,Tokyu Fudosan Holdings Corp,TSE
8334,Gunma Bank Ltd,TSE
6113,Amada Co Ltd,TSE
6448,Brother Industries Ltd,TSE
6845,Azbil Corp,TSE
1773,YTL Corporation Bhd,TSE
3064,MonotaRO Co Ltd,TSE
4732,USS Co Ltd,TSE
9684,Square Enix Holdings Co Ltd,TSE
5838,Rakuten Bank Ltd,TSE
5991,NHK Spring Co Ltd,TSE
3231,Nomura Real Estate Holdings Inc,TSE
4183,Mitsui Chemicals Inc,TSE
