Code,Name,Market
04337,Starbucks Corp,HKEX
00019,Swire Pacific Ltd Class A,HKEX
02319,China Mengniu Dairy Company Ltd,HKEX
02338,Weichai Power Co Ltd Class H,HKEX
02382,Sunny Optical Technology Group Co Ltd,HKEX
09901,New Oriental Education & Technology Group Inc,HKEX
03698,Huishang Bank Corp Ltd Class H,HKEX
06862,Haidilao International Holding Ltd,HKEX
80291,China Resources Beer Holdings Co Ltd,HKEX
00728,China Telecom Corp Ltd Class H,HKEX
02313,Shenzhou International Group Holdings Ltd,HKEX
01818,Zhaojin Mining Industry Co Ltd Class H,HKEX
03993,CMOC Group Ltd Class H,HKEX
09660,Horizon Robotics,HKEX
06690,Haier Smart Home Co Ltd Class H,HKEX
02577,InnoScience Suzhou Technology Holding Co Ltd Class H,HKEX
00020,SenseTime Group Inc Class B,HKEX
00322,Tingyi (Cayman Islands) Holding Corp,HKEX
02588,BOC Aviation Ltd,HKEX
00135,Kunlun Energy Company Ltd,HKEX
09626,Bilibili Inc,HKEX
00004,Wharf Holdings Ltd,HKEX
02638,HK Electric Investments Units,HKEX
00300,Midea Group Co Ltd Class H,HKEX
00144,China Merchants Port Holdings Co Ltd,HKEX
00241,Alibaba Health Information Technology Ltd,HKEX
01364,Guming Holdings Ltd,HKEX
00270,Guangdong Investment Ltd,HKEX
01099,Sinopharm Group Co Ltd Class H,HKEX
02611,Guotai Haitong Securities Co Ltd Class H,HKEX
80020,SenseTime Group Inc Class B,HKEX
02018,AAC Technologies Holdings Inc,HKEX
09863,Zhejiang Leapmotor Technology Co Ltd Class H,HKEX
01508,China Reinsurance (Group) Corp Class H,HKEX
01336,New China Life Insurance Co Ltd Class H,HKEX
06088,Foxconn Interconnect Technology Ltd,HKEX
02726,Epiworld International Co Ltd Class H,HKEX
00285,Byd Electronic (International) Co Ltd,HKEX
01171,Yankuang Energy Group Co Ltd Class H,HKEX
02799,China CITIC Financial Asset Management Co Ltd Class H,HKEX
03998,Bosideng International Holdings Ltd,HKEX
02076,Kanzhun Ltd,HKEX
02099,China Gold International Resources Corp Ltd,HKEX
02688,ENN Energy Holdings Ltd,HKEX
09698,GDS Holdings Ltd Class A,HKEX
09880,Ubtech Robotics Corp Ltd Class H,HKEX
00486,United Company Rusal IPJSC,HKEX
